organization,description,offer_type,secteurs,address,country,publication_date,expiry_date,website,phones
Dobiza,REMPLACEMENT DES GROUPES ELECTROGENES DE SECOURS ALIMENTANT L’IMMEUBLE TOUR AINSI QUE LE BATIMENT DU COFEB DU SIEGE,Appel d’offre,"Electricité, Alimentation ASI, Eclairage,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,CONSEIL SENEGALAIS DES CHARGEURS (COSEC),Passation de marché,"Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,TRAVAUX PUBLIC,Passation de marché,"Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture et mise en service de 4 pivots de 50 ha chacun SEFA,Passation de marché,"Production agricole,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"Fourniture Matériel de laboratoire: mini trieuses avec laser, mini batteuses électriques et laboratoire ..",Passation de marché,"Production agricole,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture de véhicules 1 break et 2 pick-up pour la Coordination Nationale et 02 pick-up ...,Passation de marché,"Automobiles, roulants,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"Fourniture de matériel informatique (5 ordinateurs de bureau, 21 ordinateurs portables, imprimantes et scanners, pour 26 agents) pour le ...",Passation de marché,"Ordinateurs, Matériels,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture de mobilier et de matériel de bureau pour l'Unité de gestion de projet CFL,Passation de marché,"Equipements et mobilier,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture et mise en service de 2 mini moissonneuses-batteuses (SEFA et Saint Louis); 30 motoculteurs,Passation de marché,"Production agricole,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture Petit matériel agricole et matériel divers,Passation de marché,"Production agricole,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,Fourniture et mise en service de 4 engins de levage (SEFA); 5 pulvérisateurs atomiseurs (SEFA); 1 Emballage de céréales ...,Passation de marché,"Automobiles, roulants,","Liberté 6 extension
Liberté 6 extension",Sénégal,30/12/2025,31/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,APPEL A CANDIDATURES POUR LE RECRUTEMENT D’ENSEIGNANTS-FORMATEURS,Appel manifestation / proposition,"Enseignement, Formation,","Liberté 6 extension
Liberté 6 extension",Sénégal,29/12/2025,30/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,PROJET DE REHABILITATION DE LA ROUTE SENOBA-ZIGUINCHOR-MPACK ET DE DESENCLAVEMENT DES REGIONS DU SUD,Appel d’offre,"Automobiles, roulants,","Liberté 6 extension
Liberté 6 extension",Sénégal,29/12/2025,30/12/2025,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"TRAVAUX DE CONSTRUCTION DE MARCHES HEBDOMADAIRES ET D’UN MUR DE CLOTURE DANS LES COMMUNES DE SAKAR , DE DIAOBE KABENDOU , DE OULAMPANE ET DE OUSSOUYE EN 4 LOTS",Appel d’offre,"Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,29/12/2025,30/12/2025,http://guindo.co/,"+221776449596, +221338243334"
,Villa à vendre à la Somone Sénégal,Immobilier,"Immobilier,",,Sénégal,29/12/2025,29/03/2026,,
Dobiza,FOURNITURE ET DEPLOIEMENT D'UN DISPOSITIF RFID ZEBRA POUR L’INVENTAIRE DU MATERIEL INFORMATIQUE AU SIEGE DE LA BCEAO,Appel d’offre,"Matériel électronique,Ordinateurs, Matériels,","Liberté 6 extension
Liberté 6 extension",Sénégal,28/12/2025,29/12/2025,http://guindo.co/,"+221776449596, +221338243334"
